DATE,PCE
01/01/1959,306.1
01/02/1959,309.6
01/03/1959,312.7
01/04/1959,312.2
01/05/1959,316.1
01/06/1959,318.2
01/07/1959,317.8
01/08/1959,320.2
01/09/1959,324.2
01/10/1959,
01/11/1959,322.9
01/12/1959,322.9
01/01/1960,323.6
01/02/1960,325.3
01/03/1960,330.2
01/04/1960,336.5
01/05/1960,330
01/06/1960,330.1
01/07/1960,331.4
01/08/1960,
01/09/1960,333.4
01/10/1960,335.4
01/11/1960,335.4
01/12/1960,331.3
01/01/1961,
01/02/1961,333.7
01/03/1961,337.7
01/04/1961,337.6
01/05/1961,339.9
01/06/1961,340.9
01/07/1961,340.6
01/08/1961,
01/09/1961,344.4
01/10/1961,346.5
01/11/1961,349.9
01/12/1961,352.4
01/01/1962,353.2
01/02/1962,354
01/03/1962,357.4
01/04/1962,359
01/05/1962,362
01/06/1962,360.4
01/07/1962,361.4
01/08/1962,362.9
01/09/1962,368.8
01/10/1962,366.5
01/11/1962,371.7
01/12/1962,
01/01/1963,374.4
01/02/1963,373.4
01/03/1963,375
01/04/1963,376.4
01/05/1963,377.2
01/06/1963,381.7
01/07/1963,384.4
01/08/1963,
01/09/1963,385.5
01/10/1963,386
01/11/1963,389.4
01/12/1963,394.7
01/01/1964,396.8
01/02/1964,400.2
01/03/1964,401.8
01/04/1964,402.8
01/05/1964,408.4
01/06/1964,411.4
01/07/1964,414.9
01/08/1964,417.7
01/09/1964,416.6
01/10/1964,419.6
01/11/1964,416.4
01/12/1964,421
01/01/1965,424.4
01/02/1965,431.4
01/03/1965,
01/04/1965,
01/05/1965,437.6
01/06/1965,435.2
01/07/1965,441
01/08/1965,444.4
01/09/1965,452
01/10/1965,458.5
01/11/1965,459.1
01/12/1965,461.7
01/01/1966,465.2
01/02/1966,470.2
01/03/1966,475
01/04/1966,476.9
01/05/1966,473.1
01/06/1966,475.5
01/07/1966,480.6
01/08/1966,483.2
01/09/1966,489.2
01/10/1966,488.3
01/11/1966,490.1
01/12/1966,491.8
01/01/1967,494.2
01/02/1967,493
01/03/1967,495.8
01/04/1967,501.3
01/05/1967,
01/06/1967,506.8
01/07/1967,506.7
01/08/1967,509.8
01/09/1967,515.6
01/10/1967,512.2
01/11/1967,517.4
01/12/1967,525.1
01/01/1968,530.9
01/02/1968,533.6
01/03/1968,544.3
01/04/1968,544
01/05/1968,549.8
01/06/1968,556.3
01/07/1968,563.2
01/08/1968,
01/09/1968,568.2
01/10/1968,571.6
01/11/1968,576.7
01/12/1968,576.5
01/01/1969,583.5
01/02/1969,588.7
01/03/1969,588.9
01/04/1969,593.9
01/05/1969,
01/06/1969,600.9
01/07/1969,602.7
01/08/1969,609.9
01/09/1969,613.2
01/10/1969,
01/11/1969,620.5
01/12/1969,622.8
01/01/1970,628.7
01/02/1970,634
01/03/1970,632.3
01/04/1970,636
01/05/1970,642.4
01/06/1970,646.3
01/07/1970,648.5
01/08/1970,652.9
01/09/1970,659.1
01/10/1970,658.3
01/11/1970,656.6
01/12/1970,665.6
01/01/1971,676.1
01/02/1971,679.4
01/03/1971,682
01/04/1971,688.8
01/05/1971,691.1
01/06/1971,699.8
01/07/1971,698.9
01/08/1971,
01/09/1971,713
01/10/1971,715.8
01/11/1971,720.9
01/12/1971,728.4
01/01/1972,731.5
01/02/1972,736.2
01/03/1972,749.2
01/04/1972,752.5
01/05/1972,758
01/06/1972,
01/07/1972,769.9
01/08/1972,776.3
01/09/1972,781.1
01/10/1972,794.9
01/11/1972,800.5
01/12/1972,806.1
01/01/1973,816.5
01/02/1973,825.8
01/03/1973,
01/04/1973,835.7
01/05/1973,841.6
01/06/1973,844.3
01/07/1973,854.1
01/08/1973,853.3
01/09/1973,
01/10/1973,868.2
01/11/1973,876.9
01/12/1973,876.6
01/01/1974,884.5
01/02/1974,889.7
01/03/1974,901.4
01/04/1974,
01/05/1974,922.4
01/06/1974,928
01/07/1974,937.9
01/08/1974,954.8
01/09/1974,955.1
01/10/1974,959.2
01/11/1974,956.2
01/12/1974,961.8
01/01/1975,
01/02/1975,989.4
01/03/1975,990.6
01/04/1975,995
01/05/1975,1018.9
01/06/1975,1026.8
01/07/1975,1039.8
01/08/1975,1047
01/09/1975,1054.8
01/10/1975,1060.9
01/11/1975,1075.8
01/12/1975,1092.1
01/01/1976,1107.1
01/02/1976,1107.7
01/03/1976,1114.9
01/04/1976,1125.4
01/05/1976,1122.7
01/06/1976,1140.5
01/07/1976,1149.6
01/08/1976,1158
01/09/1976,1168.8
01/10/1976,1176.8
01/11/1976,1189
01/12/1976,1211.5
01/01/1977,1215
01/02/1977,1231.3
01/03/1977,1238.3
01/04/1977,1247.3
01/05/1977,1257.1
01/06/1977,1263.6
01/07/1977,1280.5
01/08/1977,1285.7
01/09/1977,1294.5
01/10/1977,1311.4
01/11/1977,1327
01/12/1977,1336
01/01/1978,1329.5
01/02/1978,1355.1
01/03/1978,1377.5
01/04/1978,1396.4
01/05/1978,1412
01/06/1978,1425.8
01/07/1978,1426.8
01/08/1978,
01/09/1978,
01/10/1978,1466.9
01/11/1978,1480.6
01/12/1978,1496.5
01/01/1979,1502.4
01/02/1979,1517.8
01/03/1979,1531.2
01/04/1979,1538.4
01/05/1979,1558.8
01/06/1979,1575.7
01/07/1979,1586.1
01/08/1979,1615.6
01/09/1979,1633.9
01/10/1979,1641.6
01/11/1979,1657.3
01/12/1979,1666.3
01/01/1980,1697.3
01/02/1980,1701.4
01/03/1980,1708.2
01/04/1980,1695.2
01/05/1980,1700.1
01/06/1980,1718.8
01/07/1980,1747.1
01/08/1980,1763.8
01/09/1980,1780.5
01/10/1980,1817.1
01/11/1980,1826.8
01/12/1980,1851.7
01/01/1981,1870
01/02/1981,1884.2
01/03/1981,1902.9
01/04/1981,1904.4
01/05/1981,1913.8
01/06/1981,1934.5
01/07/1981,1942.1
01/08/1981,1966.6
01/09/1981,1965.5
01/10/1981,1963.9
01/11/1981,1970.6
01/12/1981,1988.8
01/01/1982,1997.1
01/02/1982,2021.2
01/03/1982,2024.1
01/04/1982,2026.3
01/05/1982,2044.5
01/06/1982,2048.1
01/07/1982,2072.2
01/08/1982,2080.1
01/09/1982,2104.6
01/10/1982,
01/11/1982,
01/12/1982,2161.6
01/01/1983,2174
01/02/1983,2177
01/03/1983,2202.8
01/04/1983,2226.4
01/05/1983,2245.9
01/06/1983,2276
01/07/1983,2304.4
01/08/1983,2320.4
01/09/1983,2334.9
01/10/1983,2357.6
01/11/1983,
01/12/1983,2393.6
01/01/1984,2419.4
01/02/1984,2403.5
01/03/1984,2431.6
01/04/1984,2457.5
01/05/1984,2474.5
01/06/1984,2495.6
01/07/1984,2494.6
01/08/1984,2512.2
01/09/1984,2533.8
01/10/1984,2531.3
01/11/1984,2571.4
01/12/1984,2582.6
01/01/1985,2618.8
01/02/1985,2640.8
01/03/1985,2648.5
01/04/1985,2659.5
01/05/1985,2696.4
01/06/1985,2689.4
01/07/1985,2715.7
01/08/1985,2752.1
01/09/1985,2794.7
01/10/1985,2755.8
01/11/1985,2771.1
01/12/1985,2811.3
01/01/1986,2827.1
01/02/1986,2820.2
01/03/1986,2823.6
01/04/1986,2835.2
01/05/1986,
01/06/1986,2861.7
01/07/1986,
01/08/1986,2898.6
01/09/1986,2971.8
01/10/1986,2932.9
01/11/1986,
01/12/1986,2997.1
01/01/1987,2935.5
01/02/1987,3001.7
01/03/1987,
01/04/1987,3038.8
01/05/1987,3048.4
01/06/1987,3072.8
01/07/1987,
01/08/1987,3130.8
01/09/1987,3126.5
01/10/1987,3134.5
01/11/1987,3144.2
01/12/1987,3174.1
01/01/1988,3213.7
01/02/1988,3221.4
01/03/1988,3260.5
01/04/1988,3263
01/05/1988,3293.6
01/06/1988,3318.5
01/07/1988,3342.7
01/08/1988,3368
01/09/1988,3375
01/10/1988,3413.7
01/11/1988,3430.2
01/12/1988,3459.7
01/01/1989,3483.7
01/02/1989,3488
01/03/1989,3498.8
01/04/1989,3543
01/05/1989,3551.8
01/06/1989,
01/07/1989,3585.7
01/08/1989,3620.6
01/09/1989,3621.9
01/10/1989,3633.6
01/11/1989,3643.3
01/12/1989,3684.2
01/01/1990,3730.7
01/02/1990,3728.2
01/03/1990,3754.9
01/04/1990,3770
01/05/1990,3775.8
01/06/1990,3804.5
01/07/1990,3821.7
01/08/1990,3848.3
01/09/1990,3870.1
01/10/1990,3870.6
01/11/1990,3871.9
01/12/1990,3861.3
01/01/1991,3841
01/02/1991,3866.7
01/03/1991,3913
01/04/1991,3907.1
01/05/1991,3933.2
01/06/1991,3940.5
01/07/1991,3966
01/08/1991,3969.1
01/09/1991,3984.7
01/10/1991,3976
01/11/1991,4003.6
01/12/1991,4020.5
01/01/1992,4084.7
01/02/1992,4099.5
01/03/1992,4117
01/04/1992,4131.5
01/05/1992,4158.4
01/06/1992,4177.1
01/07/1992,4204.8
01/08/1992,4220.9
01/09/1992,4255.3
01/10/1992,4284.7
01/11/1992,4300.5
01/12/1992,4336.4
01/01/1993,4340.7
01/02/1993,
01/03/1993,4352.5
01/04/1993,4393.4
01/05/1993,4422.4
01/06/1993,4440
01/07/1993,4468.9
01/08/1993,4481.1
01/09/1993,4511.5
01/10/1993,4532.8
01/11/1993,4554.1
01/12/1993,4571.1
01/01/1994,4585.1
01/02/1994,4632.6
01/03/1994,4646
01/04/1994,4671.1
01/05/1994,4669.5
01/06/1994,4708.9
01/07/1994,4720.6
01/08/1994,4762.6
01/09/1994,4775
01/10/1994,4812.9
01/11/1994,4825.6
01/12/1994,4841.6
01/01/1995,4851.2
01/02/1995,4850.8
01/03/1995,4885.4
01/04/1995,4890.2
01/05/1995,4933.1
01/06/1995,4977.5
01/07/1995,4970.2
01/08/1995,5005.3
01/09/1995,5020.5
01/10/1995,5013.9
01/11/1995,5055.6
01/12/1995,5097.5
01/01/1996,5085.7
01/02/1996,5132.8
01/03/1996,5173.3
01/04/1996,5208
01/05/1996,5223.8
01/06/1996,5229.8
01/07/1996,5251.9
01/08/1996,5275
01/09/1996,5296.6
01/10/1996,5328.5
01/11/1996,5351.2
01/12/1996,5378.6
01/01/1997,
01/02/1997,
01/03/1997,5454.2
01/04/1997,5459.3
01/05/1997,5460.2
01/06/1997,5494.2
01/07/1997,5548.8
01/08/1997,5587
01/09/1997,5601.7
01/10/1997,5637.7
01/11/1997,5661.1
01/12/1997,5692.1
01/01/1998,5689.9
01/02/1998,5723.8
01/03/1998,5750.3
01/04/1998,
01/05/1998,5837.9
01/06/1998,5871.7
01/07/1998,5890
01/08/1998,5925
01/09/1998,5965.6
01/10/1998,
01/11/1998,6015.4
01/12/1998,6070.5
01/01/1999,6073.9
01/02/1999,6099.2
01/03/1999,6133
01/04/1999,6199.5
01/05/1999,6232.1
01/06/1999,6260.3
01/07/1999,6287.6
01/08/1999,6331.9
01/09/1999,6386.5
01/10/1999,6411.4
01/11/1999,6448.7
01/12/1999,6541
01/01/2000,6542.9
01/02/2000,6625.3
01/03/2000,6686.5
01/04/2000,6679.1
01/05/2000,6709.7
01/06/2000,6746.9
01/07/2000,6768.5
01/08/2000,6802.8
01/09/2000,6888.6
01/10/2000,6893.8
01/11/2000,6909.8
01/12/2000,6952.2
01/01/2001,6987.4
01/02/2001,7001.8
01/03/2001,6996.7
01/04/2001,7004.2
01/05/2001,7052.8
01/06/2001,7069.7
01/07/2001,7082.3
01/08/2001,7121.7
01/09/2001,7007
01/10/2001,7212.9
01/11/2001,7182.3
01/12/2001,7166.7
01/01/2002,7184.6
01/02/2002,7225.2
01/03/2002,7243.4
01/04/2002,7312.5
01/05/2002,7288.9
01/06/2002,7322.5
01/07/2002,7387.3
01/08/2002,7412.6
01/09/2002,7391.5
01/10/2002,7435.2
01/11/2002,7463.8
01/12/2002,7519.9
01/01/2003,7541.3
01/02/2003,7548.6
01/03/2003,7611.5
01/04/2003,7634.5
01/05/2003,7650.3
01/06/2003,7699.6
01/07/2003,7757
01/08/2003,7852.1
01/09/2003,7853.7
01/10/2003,7867.4
01/11/2003,7922.6
01/12/2003,7950.4
01/01/2004,8007.1
01/02/2004,8040.4
01/03/2004,8098.8
01/04/2004,8107.2
01/05/2004,8176.5
01/06/2004,8157.6
01/07/2004,8236.9
01/08/2004,8271.6
01/09/2004,8341.5
01/10/2004,8397.1
01/11/2004,8444.5
01/12/2004,8504.4
01/01/2005,8497.7
01/02/2005,8559.1
01/03/2005,8598.4
01/04/2005,8678.4
01/05/2005,8671.6
01/06/2005,8753.4
01/07/2005,8853.8
01/08/2005,8850.1
01/09/2005,8900.4
01/10/2005,8938.5
01/11/2005,8946.2
01/12/2005,8981.1
01/01/2006,9071.6
01/02/2006,9096
01/03/2006,9132.9
01/04/2006,9191.6
01/05/2006,9231.8
01/06/2006,9259.6
01/07/2006,9343.8
01/08/2006,9342.2
01/09/2006,9375.4
01/10/2006,9393.6
01/11/2006,9400.2
01/12/2006,9488.3
01/01/2007,9538.7
01/02/2007,9566
01/03/2007,9611.7
01/04/2007,9643.6
01/05/2007,9685.8
01/06/2007,9706.8
01/07/2007,9751.1
01/08/2007,9798.9
01/09/2007,9845.1
01/10/2007,9882.7
01/11/2007,9955.9
01/12/2007,9972.8
01/01/2008,9996.4
01/02/2008,9981.7
01/03/2008,10035.3
01/04/2008,10070.3
01/05/2008,10132.3
01/06/2008,10187.1
01/07/2008,10185.1
01/08/2008,10175.7
01/09/2008,10116.4
01/10/2008,10034.1
01/11/2008,9885.2
01/12/2008,9801.5
01/01/2009,9847.2
01/02/2009,
01/03/2009,9773.2
01/04/2009,9772.5
01/05/2009,9791.6
01/06/2009,9852.4
01/07/2009,9886.3
01/08/2009,
01/09/2009,9927.8
01/10/2009,9976.7
01/11/2009,
01/12/2009,10052.6
01/01/2010,10056.1
01/02/2010,10093.4
01/03/2010,10156
01/04/2010,10182.3
01/05/2010,10210.8
01/06/2010,10231.3
01/07/2010,10268.1
01/08/2010,10307.1
01/09/2010,10327.1
01/10/2010,10386.4
01/11/2010,10433.6
01/12/2010,10471
01/01/2011,10514.3
01/02/2011,10540.6
01/03/2011,10619.7
01/04/2011,10652.1
01/05/2011,10672.2
01/06/2011,10694.8
01/07/2011,10731.6
01/08/2011,10750.3
01/09/2011,10783.2
01/10/2011,10802.9
01/11/2011,10806.8
01/12/2011,10817.8
01/01/2012,10896.8
01/02/2012,10987.2
01/03/2012,10993.9
01/04/2012,11018.5
01/05/2012,11006.8
01/06/2012,10989.8
01/07/2012,11016.8
01/08/2012,11056
01/09/2012,11105.3
01/10/2012,11137.4
01/11/2012,11178.4
01/12/2012,11181.2
01/01/2013,11245.8
01/02/2013,11282.1
01/03/2013,11268.9
01/04/2013,11259.3
01/05/2013,11295.1
01/06/2013,11318.5
01/07/2013,11346.8
01/08/2013,11376.9
01/09/2013,11413.9
01/10/2013,11465.2
01/11/2013,11531.3
01/12/2013,11558.6
01/01/2014,11543.7
01/02/2014,11615.4
01/03/2014,11695.2
01/04/2014,11737.4
01/05/2014,11778.6
01/06/2014,11838
01/07/2014,11879.2
01/08/2014,11958.8
01/09/2014,11964.9
01/10/2014,12035.5
01/11/2014,12058.4
01/12/2014,12067.6
01/01/2015,12036.5
01/02/2015,12083.1
01/03/2015,12132.2
01/04/2015,12170.3
01/05/2015,12233.6
01/06/2015,12270.3
01/07/2015,12327.5
01/08/2015,12359.3
01/09/2015,12356.4
01/10/2015,12362.3
01/11/2015,12397.5
01/12/2015,12432.8
01/01/2016,12452.1
01/02/2016,12526.3
01/03/2016,12506.8
01/04/2016,12586
01/05/2016,12624.4
01/06/2016,12701.7
01/07/2016,12720.6
01/08/2016,12749.8
01/09/2016,12806.8
01/10/2016,12828.1
01/11/2016,12853.6
01/12/2016,12962.9
01/01/2017,13015.1
01/02/2017,13034.7
01/03/2017,13089.6
01/04/2017,13127.7
01/05/2017,13128.7
01/06/2017,13176.8
01/07/2017,13198.3
01/08/2017,13241
01/09/2017,13365.1
01/10/2017,13394.8
01/11/2017,13495.7
01/12/2017,13601.8
01/01/2018,13620.1
01/02/2018,13657.2
01/03/2018,13725
01/04/2018,13809.3
01/05/2018,13872.1
01/06/2018,13912.9
01/07/2018,13962.6
01/08/2018,14014.5
01/09/2018,14030.7
01/10/2018,14119.6
01/11/2018,14187.8
01/12/2018,14050.6
01/01/2019,14104.4
01/02/2019,14117.9
01/03/2019,14244.4
01/04/2019,14329.3
01/05/2019,14372.2
01/06/2019,14425.7
01/07/2019,14487.4
01/08/2019,14536.4
01/09/2019,14564.7
01/10/2019,14607.9
01/11/2019,14667.6
01/12/2019,14686.3
01/01/2020,14769.9
01/02/2020,14785.1
01/03/2020,13762.2
01/04/2020,12021.8
01/05/2020,13058.1
01/06/2020,13889.3
01/07/2020,14129.2
01/08/2020,14270.5
01/09/2020,14481.7
01/10/2020,14546
01/11/2020,14467.3
01/12/2020,14389.5
01/01/2021,14857.9
01/02/2021,14699.6
01/03/2021,15458.9
01/04/2021,15618.7
01/05/2021,15624.4
01/06/2021,15802
01/07/2021,15814.9
01/08/2021,15991.1
01/09/2021,16088.9
01/10/2021,16335.6
01/11/2021,16401.5
01/12/2021,16306.3
